ACM	GEE	0.7382683410442828,0.7237276933245208,0.7323198942498348,0.7290152015862524,0.7382683410442828,0.7554527428949108,0.7395902181097158,0.7633840052875083,0.7541308658294779,0.7666886979510905,0.7587574355584931,0.722405816259088,0.7627230667547918,0.7640449438202247,0.7263714474553866,0.7554527428949108,0.7376074025115664,0.7468605419695968,0.7547918043621943,0.7706543291473893,0.7594183740912095,0.7250495703899538,0.7614011896893589,0.7323198942498348,0.7580964970257766,0.7362855254461335,0.7263714474553866,0.7481824190350297,0.7614011896893589,0.7732980832782551,0.7607402511566425,0.7620621282220753,0.7528089887640449,0.7448777263714474,0.7303370786516854,0.767349636483807,0.7276933245208196,0.751487111698612,0.7349636483807006,0.7594183740912095,0.7501652346331791,0.73694646397885,0.7627230667547918,0.7541308658294779,0.783212161269002,0.7362855254461335,0.7614011896893589,0.7435558493060146,0.7488433575677462,0.7435558493060146,0.751487111698612,0.721083939193655,0.7329808327825512,0.7653668208856577,0.7633840052875083,0.7263714474553866,0.7713152676801057,0.7409120951751487,0.7594183740912095,0.744216787838731,0.7475214805023133,0.7541308658294779,0.7184401850627892,0.7554527428949108,0.7481824190350297,0.7541308658294779,0.7303370786516854,0.7316589557171183,0.7329808327825512,0.7501652346331791,0.7521480502313285,0.7713152676801057,0.7395902181097158,0.729676140118969,0.7541308658294779,0.7435558493060146,0.7541308658294779,0.7488433575677462,0.7389292795769994,0.7660277594183741,0.7455386649041639,0.7561136814276272,0.7924653007270324,0.7653668208856577,0.721083939193655,0.7415730337078652,0.7580964970257766,0.7501652346331791,0.7415730337078652,0.7461996034368804,0.722405816259088,0.7614011896893589,0.7686715135492399,0.7680105750165235,0.7594183740912095,0.7594183740912095,0.7660277594183741,0.7693324520819563,0.7554527428949108,0.7607402511566425
ACM	GNN	0.6543291473892928,0.5208195637805684,0.5003304692663583,0.5928618638466623,0.40251156642432256,0.6966292134831461,0.5267680105750165,0.3635161929940516,0.559153998678123,0.4454725710508923,0.5393258426966292,0.5102445472571051,0.5994712491738269,0.4712491738268341,0.39788499669530736,0.5029742233972241,0.44150693985459355,0.5928618638466623,0.5340383344348976,0.4534038334434898,0.4097818902842036,0.5644415069398546,0.6622604097818903,0.5551883674818242,0.5459352280237938,0.5895571711830799,0.534699272967614,0.62128222075347,0.5935228023793787,0.6933245208195637,0.4547257105089227,0.5056179775280899,0.4712491738268341,0.6939854593522803,0.5214805023132849,0.6880370125578321,0.4996695307336418,0.4038334434897555,0.5617977528089888,0.4996695307336418,0.6226040978189028,0.5003304692663583,0.39920687376074027,0.6186384666226041,0.5902181097157965,0.5214805023132849,0.5631196298744217,0.4500991407799075,0.5023132848645075,0.6886979510905485,0.4038334434897555,0.47587574355584933,0.6602775941837409,0.6754791804362195,0.6794448116325181,0.5267680105750165,0.5399867812293456,0.7078651685393258,0.5703899537343027,0.5935228023793787,0.5657633840052875,0.6133509583608724,0.4434897554527429,0.5413086582947786,0.45803040317250493,0.3549239920687376,0.6239259748843358,0.5294117647058824,0.44150693985459355,0.5353602115003304,0.5756774619960344,0.47257105089226703,0.550561797752809,0.6146728354263054,0.3906146728354263,0.47455386649041637,0.5882352941176471,0.6298744216787838,0.5717118307997356,0.5102445472571051,0.6946463978849967,0.5340383344348976,0.6721744877726371,0.5822868473231989,0.4983476536682089,0.6080634500991408,0.5042961004626569,0.5631196298744217,0.5148711169861203,0.7072042300066094,0.5611368142762723,0.627230667547918,0.5082617316589557,0.5280898876404494,0.541969596827495,0.4487772637144746,0.5254461335095836,0.5888962326503635,0.5287508261731659,0.47851949768671515
ACM	GG	0.7402511566424322,0.7799074686054197,0.7732980832782551,0.7779246530072703,0.7534699272967614,0.7594183740912095,0.7607402511566425,0.7455386649041639,0.7713152676801057,0.7428949107732981,0.7779246530072703,0.73694646397885,0.7706543291473893,0.7455386649041639,0.7455386649041639,0.7389292795769994,0.7415730337078652,0.7640449438202247,0.7660277594183741,0.7448777263714474,0.7204230006609386,0.7395902181097158,0.7825512227362855,0.7508261731658956,0.7647058823529411,0.5254461335095836,0.735624586913417,0.7884996695307337,0.7666886979510905,0.7799074686054197,0.7455386649041639,0.7435558493060146,0.7395902181097158,0.7647058823529411,0.7706543291473893,0.7580964970257766,0.7528089887640449,0.7699933906146729,0.7580964970257766,0.7554527428949108,0.7574355584930601,0.7640449438202247,0.7752808988764045,0.7640449438202247,0.7825512227362855,0.751487111698612,0.7633840052875083,0.7435558493060146,0.7349636483807006,0.7554527428949108,0.7574355584930601,0.7118307997356246,0.7666886979510905,0.7653668208856577,0.7785855915399867,0.7488433575677462,0.7746199603436881,0.5935228023793787,0.7739590218109715,0.712491738268341,0.7547918043621943,0.7587574355584931,0.7792465300727033,0.566424322538004,0.7686715135492399,0.7660277594183741,0.7171183079973562,0.7157964309319234,0.7316589557171183,0.7534699272967614,0.7415730337078652,0.7713152676801057,0.7567746199603437,0.7746199603436881,0.7640449438202247,0.7614011896893589,0.7640449438202247,0.7501652346331791,0.7799074686054197,0.7640449438202247,0.7812293456708526,0.7409120951751487,0.8003965631196299,0.7376074025115664,0.7746199603436881,0.728354263053536,0.7547918043621943,0.7475214805023133,0.7845340383344349,0.7455386649041639,0.7270323859881032,0.7713152676801057,0.7812293456708526,0.7415730337078652,0.7561136814276272,0.7528089887640449,0.7587574355584931,0.7541308658294779,0.7706543291473893,0.7739590218109715
ACM	GG2	0.7614011896893589,0.7521480502313285,0.7706543291473893,0.7746199603436881,0.7349636483807006,0.7547918043621943,0.760079312623926,0.7428949107732981,0.760079312623926,0.7508261731658956,0.7752808988764045,0.7448777263714474,0.7713152676801057,0.760079312623926,0.7481824190350297,0.735624586913417,0.7501652346331791,0.7640449438202247,0.7607402511566425,0.6926635822868473,0.7098479841374752,0.729676140118969,0.7779246530072703,0.7594183740912095,0.7574355584930601,0.7805684071381361,0.7362855254461335,0.7772637144745539,0.7713152676801057,0.7799074686054197,0.7680105750165235,0.7528089887640449,0.7415730337078652,0.7567746199603437,0.7752808988764045,0.7699933906146729,0.7561136814276272,0.7719762062128223,0.7699933906146729,0.7653668208856577,0.7554527428949108,0.7534699272967614,0.7766027759418375,0.7627230667547918,0.7838730998017185,0.7574355584930601,0.7699933906146729,0.7435558493060146,0.7647058823529411,0.7574355584930601,0.7647058823529411,0.73694646397885,0.7686715135492399,0.7633840052875083,0.7818902842035691,0.7792465300727033,0.7732980832782551,0.7845340383344349,0.7713152676801057,0.7085261070720423,0.7488433575677462,0.7633840052875083,0.7812293456708526,0.760079312623926,0.7699933906146729,0.7726371447455387,0.7574355584930601,0.729676140118969,0.729676140118969,0.7567746199603437,0.7428949107732981,0.7766027759418375,0.7217448777263714,0.7732980832782551,0.7746199603436881,0.7653668208856577,0.7620621282220753,0.7567746199603437,0.7521480502313285,0.7706543291473893,0.7818902842035691,0.7580964970257766,0.7878387309980172,0.7680105750165235,0.7766027759418375,0.7422339722405816,0.7567746199603437,0.7732980832782551,0.7812293456708526,0.7455386649041639,0.7250495703899538,0.7614011896893589,0.7812293456708526,0.7488433575677462,0.7693324520819563,0.7164573694646398,0.760079312623926,0.7653668208856577,0.7620621282220753,0.7719762062128223
BAT	GEE	0.4153846153846154,0.4307692307692308,0.2153846153846154,0.36923076923076925,0.3384615384615385,0.26153846153846155,0.3384615384615385,0.4,0.46153846153846156,0.4461538461538462,0.36923076923076925,0.27692307692307694,0.27692307692307694,0.4,0.4,0.3076923076923077,0.38461538461538464,0.4307692307692308,0.26153846153846155,0.46153846153846156,0.27692307692307694,0.2153846153846154,0.4,0.38461538461538464,0.4,0.47692307692307695,0.4,0.36923076923076925,0.3230769230769231,0.35384615384615387,0.4153846153846154,0.4461538461538462,0.4307692307692308,0.4,0.35384615384615387,0.3384615384615385,0.26153846153846155,0.5076923076923077,0.4153846153846154,0.5076923076923077,0.35384615384615387,0.24615384615384617,0.23076923076923078,0.27692307692307694,0.46153846153846156,0.4461538461538462,0.24615384615384617,0.36923076923076925,0.3076923076923077,0.18461538461538463,0.35384615384615387,0.4307692307692308,0.27692307692307694,0.2923076923076923,0.24615384615384617,0.23076923076923078,0.38461538461538464,0.27692307692307694,0.4307692307692308,0.35384615384615387,0.23076923076923078,0.26153846153846155,0.24615384615384617,0.35384615384615387,0.46153846153846156,0.23076923076923078,0.24615384615384617,0.2923076923076923,0.38461538461538464,0.26153846153846155,0.2923076923076923,0.27692307692307694,0.38461538461538464,0.4,0.46153846153846156,0.3076923076923077,0.26153846153846155,0.4,0.4461538461538462,0.36923076923076925,0.4,0.35384615384615387,0.2923076923076923,0.4307692307692308,0.35384615384615387,0.36923076923076925,0.36923076923076925,0.35384615384615387,0.47692307692307695,0.47692307692307695,0.23076923076923078,0.3230769230769231,0.27692307692307694,0.3384615384615385,0.26153846153846155,0.36923076923076925,0.2923076923076923,0.36923076923076925,0.49230769230769234,0.27692307692307694
BAT	GNN	0.4,0.3384615384615385,0.26153846153846155,0.4461538461538462,0.3230769230769231,0.46153846153846156,0.36923076923076925,0.3384615384615385,0.2153846153846154,0.4307692307692308,0.38461538461538464,0.36923076923076925,0.3384615384615385,0.35384615384615387,0.38461538461538464,0.35384615384615387,0.36923076923076925,0.3076923076923077,0.3230769230769231,0.4,0.2923076923076923,0.3076923076923077,0.5230769230769231,0.4153846153846154,0.35384615384615387,0.5076923076923077,0.3384615384615385,0.4153846153846154,0.36923076923076925,0.4153846153846154,0.4153846153846154,0.3384615384615385,0.3076923076923077,0.2923076923076923,0.4,0.2153846153846154,0.3230769230769231,0.4,0.4307692307692308,0.4,0.35384615384615387,0.3384615384615385,0.46153846153846156,0.4153846153846154,0.3384615384615385,0.35384615384615387,0.3384615384615385,0.27692307692307694,0.36923076923076925,0.24615384615384617,0.4,0.4153846153846154,0.35384615384615387,0.4307692307692308,0.4153846153846154,0.4461538461538462,0.3384615384615385,0.2923076923076923,0.3384615384615385,0.3230769230769231,0.4153846153846154,0.38461538461538464,0.36923076923076925,0.49230769230769234,0.49230769230769234,0.18461538461538463,0.38461538461538464,0.35384615384615387,0.35384615384615387,0.35384615384615387,0.3076923076923077,0.4,0.35384615384615387,0.27692307692307694,0.4,0.4153846153846154,0.4,0.4,0.4307692307692308,0.24615384615384617,0.18461538461538463,0.47692307692307695,0.35384615384615387,0.35384615384615387,0.4461538461538462,0.36923076923076925,0.3076923076923077,0.35384615384615387,0.38461538461538464,0.36923076923076925,0.5384615384615384,0.4153846153846154,0.4307692307692308,0.35384615384615387,0.3384615384615385,0.35384615384615387,0.3230769230769231,0.46153846153846156,0.4307692307692308,0.46153846153846156
BAT	GG	0.3076923076923077,0.38461538461538464,0.27692307692307694,0.3230769230769231,0.23076923076923078,0.3384615384615385,0.4153846153846154,0.3384615384615385,0.27692307692307694,0.4153846153846154,0.3384615384615385,0.4307692307692308,0.35384615384615387,0.3230769230769231,0.36923076923076925,0.3230769230769231,0.27692307692307694,0.49230769230769234,0.3384615384615385,0.4461538461538462,0.2923076923076923,0.2923076923076923,0.4,0.4,0.3230769230769231,0.38461538461538464,0.27692307692307694,0.23076923076923078,0.26153846153846155,0.27692307692307694,0.26153846153846155,0.27692307692307694,0.35384615384615387,0.4461538461538462,0.38461538461538464,0.27692307692307694,0.2923076923076923,0.4461538461538462,0.4307692307692308,0.38461538461538464,0.26153846153846155,0.24615384615384617,0.2153846153846154,0.12307692307692308,0.4461538461538462,0.3076923076923077,0.16923076923076924,0.4153846153846154,0.26153846153846155,0.2923076923076923,0.3384615384615385,0.3230769230769231,0.3076923076923077,0.12307692307692308,0.36923076923076925,0.23076923076923078,0.3076923076923077,0.09230769230769231,0.38461538461538464,0.3230769230769231,0.26153846153846155,0.27692307692307694,0.2,0.3076923076923077,0.24615384615384617,0.23076923076923078,0.18461538461538463,0.24615384615384617,0.2923076923076923,0.26153846153846155,0.38461538461538464,0.2,0.2153846153846154,0.3230769230769231,0.36923076923076925,0.2923076923076923,0.3076923076923077,0.3230769230769231,0.2923076923076923,0.2923076923076923,0.38461538461538464,0.3076923076923077,0.3230769230769231,0.35384615384615387,0.38461538461538464,0.26153846153846155,0.35384615384615387,0.4153846153846154,0.36923076923076925,0.5230769230769231,0.27692307692307694,0.4,0.35384615384615387,0.3384615384615385,0.35384615384615387,0.3230769230769231,0.24615384615384617,0.35384615384615387,0.46153846153846156,0.36923076923076925
BAT	GG2	0.3384615384615385,0.5076923076923077,0.27692307692307694,0.3384615384615385,0.46153846153846156,0.4,0.4461538461538462,0.4,0.46153846153846156,0.46153846153846156,0.3076923076923077,0.4307692307692308,0.35384615384615387,0.4,0.4,0.4307692307692308,0.3230769230769231,0.4153846153846154,0.35384615384615387,0.5230769230769231,0.27692307692307694,0.4461538461538462,0.4153846153846154,0.4153846153846154,0.4,0.5230769230769231,0.3384615384615385,0.3076923076923077,0.2153846153846154,0.3384615384615385,0.4461538461538462,0.46153846153846156,0.38461538461538464,0.4153846153846154,0.47692307692307695,0.3230769230769231,0.35384615384615387,0.46153846153846156,0.47692307692307695,0.4153846153846154,0.4461538461538462,0.35384615384615387,0.3076923076923077,0.35384615384615387,0.49230769230769234,0.3076923076923077,0.26153846153846155,0.4153846153846154,0.3076923076923077,0.23076923076923078,0.36923076923076925,0.5076923076923077,0.38461538461538464,0.35384615384615387,0.3230769230769231,0.4153846153846154,0.4307692307692308,0.4,0.4153846153846154,0.4,0.3076923076923077,0.27692307692307694,0.3076923076923077,0.4,0.6,0.35384615384615387,0.3076923076923077,0.3384615384615385,0.4461538461538462,0.3076923076923077,0.49230769230769234,0.35384615384615387,0.3230769230769231,0.4461538461538462,0.38461538461538464,0.46153846153846156,0.3230769230769231,0.4,0.36923076923076925,0.4,0.4153846153846154,0.38461538461538464,0.3230769230769231,0.5076923076923077,0.5076923076923077,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.5384615384615384,0.46153846153846156,0.38461538461538464,0.4153846153846154,0.4,0.3230769230769231,0.4,0.35384615384615387,0.46153846153846156,0.36923076923076925,0.47692307692307695,0.4153846153846154
DBLP	GEE	0.5342533267619517,0.5322819122720552,0.5421389847215377,0.531296205027107,0.5480532281912273,0.5534746180384426,0.5036964021685559,0.5061606702809266,0.5337604731394776,0.5347461803844258,0.5416461310990636,0.5342533267619517,0.5475603745687531,0.5524889107934944,0.5505174963035978,0.5273533760473139,0.5372104484967964,0.551010349926072,0.5421389847215377,0.5539674716609168,0.551010349926072,0.5396747166091671,0.5421389847215377,0.5337604731394776,0.5298176441596846,0.5421389847215377,0.531296205027107,0.5268605224248398,0.5460818137013307,0.5465746673238048,0.5455889600788566,0.5253819615574175,0.531296205027107,0.5391818629866929,0.5377033021192705,0.5327747658945293,0.54361754558896,0.5303104977821587,0.5352390340069,0.5298176441596846,0.5288319369147363,0.5401675702316412,0.5214391325776244,0.5529817644159685,0.5308033514046329,0.5515032035485461,0.5372104484967964,0.5283390832922622,0.5357318876293741,0.5421389847215377,0.5263676688023657,0.551010349926072,0.5450961064563824,0.5505174963035978,0.5263676688023657,0.5391818629866929,0.5337604731394776,0.5367175948743224,0.5441103992114342,0.559388861508132,0.5411532774765895,0.5455889600788566,0.5357318876293741,0.5401675702316412,0.5455889600788566,0.5475603745687531,0.5248891079349434,0.5263676688023657,0.5229176934450468,0.5214391325776244,0.5426318383440119,0.5357318876293741,0.5347461803844258,0.5253819615574175,0.5401675702316412,0.5401675702316412,0.5298176441596846,0.5263676688023657,0.5480532281912273,0.5559388861508132,0.5460818137013307,0.5327747658945293,0.5500246426811237,0.5342533267619517,0.5273533760473139,0.5372104484967964,0.5288319369147363,0.5475603745687531,0.5391818629866929,0.5253819615574175,0.5283390832922622,0.531789058649581,0.5377033021192705,0.5455889600788566,0.5500246426811237,0.5268605224248398,0.5352390340069,0.5441103992114342,0.5381961557417447,0.5421389847215377
DBLP	GNN	0.4105470675209463,0.3440118284869394,0.3987185805815673,0.3676688023656974,0.3972400197141449,0.4460325283390833,0.3602759980285855,0.39477575160177425,0.3854115327747659,0.38393297190734355,0.42730409068506653,0.3854115327747659,0.3637259733859044,0.34351897486446525,0.3139477575160177,0.35978314440611137,0.36323311976343026,0.37111877772301627,0.4406111384918679,0.23804829965500246,0.3479546574667324,0.26712666338097585,0.4302612124199113,0.4208969935929029,0.31444061113849187,0.4031542631838344,0.31345490389354363,0.39428289797930016,0.2720551996057171,0.34647609659931,0.33760473139477576,0.35485460818137016,0.31789058649581076,0.4760965993100049,0.3642188270083785,0.37604731394775753,0.34943321833415475,0.3696402168555939,0.4125184820108428,0.3592902907836373,0.3676688023656974,0.30458353868900934,0.3440118284869394,0.41202562838836865,0.34696895022178414,0.40956136027599804,0.37949728930507637,0.4046328240512568,0.2819122720551996,0.4356826022671267,0.32134056185312965,0.3326761951700345,0.4169541646131099,0.4090685066535239,0.4194184327254805,0.34943321833415475,0.3164120256283884,0.44307540660423855,0.3499260719566289,0.34154756037456874,0.3642188270083785,0.34746180384425823,0.3790044356826023,0.4701823558403154,0.3932971907343519,0.38393297190734355,0.34696895022178414,0.39477575160177425,0.362247412518482,0.3558403154263184,0.4287826515524889,0.42237555446032526,0.3755544603252834,0.42336126170527355,0.3642188270083785,0.47215377033021194,0.366190241498275,0.3523903400689995,0.4425825529817644,0.41005421389847213,0.3676688023656974,0.3730901922129128,0.44652538196155744,0.4125184820108428,0.3518974864465254,0.4460325283390833,0.30655495317890585,0.4268112370625924,0.4046328240512568,0.42385411532774764,0.3405618531296205,0.40857565303104976,0.38442582552981763,0.4075899457861015,0.3405618531296205,0.36471168063085263,0.34549038935436177,0.4480039428289798,0.4647609659931001,0.43716116313454906
