0.0	GEE	0.6043719880487035,0.5742276602238073,0.5749107447492368,0.593695209742984,0.5952963064965066,0.5820882313219757,0.5704314083293673,0.6034867220696342,0.5834886077910091,0.6107969826016245,0.5908634863315863,0.5746488379154248,0.5808298965379683,0.57909620125503,0.6072805132127878,0.6076592992781763,0.5707010396343783,0.6017901520776323,0.5903288539801916,0.6069520888430776,0.6098180596481805,0.590289267524882,0.5881969966161572,0.6109959339658643,0.595097052420199,0.5904195461421641,0.5948739367040321,0.5937076497211048,0.6100723663426071,0.5936100176275924,0.5980096739290754,0.580597973580475,0.6049644504812788,0.581462376348436,0.5864169680200715,0.6042643007205918,0.5925411290990655,0.5766685967905268,0.569537611222179,0.5678687532517328,0.579981022411827,0.5824968730823564,0.5298770112533742,0.5822788570168784,0.5914590518030673,0.599585602449745,0.589781515132919,0.5845510493679869,0.59638549858918,0.5811029242748031
0.0	GNN	0.7799728856995685,0.7649355945481586,0.7822547777052619,0.7532224824660214,0.7834646884059172,0.7434441562375144,0.7312094464764984,0.7871662137795221,0.7717924853863498,0.7915883754205628,0.8001618586551494,0.7439783046752425,0.7717141355382441,0.7680927465340349,0.772684305474461,0.7822211926330028,0.7798847772194312,0.802548139955592,0.7667687055106075,0.7917075475908949,0.7799556618290694,0.7670489366276692,0.7658426828059213,0.7883589993394398,0.7683091137148909,0.7850209512854398,0.7880673427459463,0.7603165828182633,0.783320986838641,0.7798741874682985,0.7658731293961407,0.7634520928250565,0.7815997955352588,0.7582100608713733,0.7752848165377372,0.7918917543576878,0.7811385252865601,0.7586624889674973,0.7543709248630563,0.7312276713902498,0.7643748256017642,0.7404379933173736,0.7808620110121679,0.7565338439686504,0.7561475394747158,0.7857297297978786,0.7495819861975307,0.7812576914178654,0.7641362504617241,0.7675819190000964
0.0	GG	0.7740709784590672,0.7344267302844235,0.7698940338362583,0.7246721208111947,0.7539691510886664,0.7437812526102319,0.7281067999291391,0.7810580712374322,0.7292632516687061,0.7700556432116616,0.7715650724263081,0.7338177270608167,0.6946864526582432,0.7356399730683983,0.7865451225701083,0.7732349310742911,0.7452990150675711,0.7978689386320182,0.7589512492496775,0.7902861319531362,0.704210450909012,0.7819235025692126,0.752650272519446,0.7902483834377597,0.7636214204595455,0.7579275419767322,0.7672760837626487,0.7404348399543034,0.7830100463005989,0.7443906134252258,0.7478972285503981,0.7526649806214205,0.7532218601422104,0.7327271159641876,0.7761567684353142,0.7396645521852179,0.741226474217546,0.7221360155481489,0.7327435380234997,0.7289596241151486,0.7240571320491574,0.7351392445240129,0.7592221586788027,0.6854422079268853,0.7620752111236014,0.7716497598845161,0.7567634630350369,0.6786383837492274,0.77006761429059,0.7645882543477754
0.0	GG2	0.7739721661712902,0.7335776354737881,0.7367271234549398,0.7279883572863649,0.7418045755160235,0.738827830752862,0.7012504735924621,0.7810580712374322,0.7520283517817752,0.778093526984635,0.76636806463929,0.7326862945361771,0.6888038215545552,0.7378166472543947,0.7669787070403808,0.7780133519008937,0.7479272952631314,0.7891860817594722,0.7560879533892609,0.7902861319531362,0.765811893917249,0.7527808220832947,0.7513749042290487,0.7902483834377597,0.7636214204595455,0.7396896674504716,0.7638244020232284,0.7491819529807675,0.7889043930910284,0.7488466935831484,0.7534037713495665,0.7478125574980187,0.7705061224158468,0.7327271159641876,0.7648311115978919,0.7416531990275755,0.7539930285324146,0.7415827169171955,0.7297675172586948,0.7289596241151486,0.7354144943450696,0.7351682129484345,0.7639946377763951,0.6934787803425276,0.7517782839840336,0.7689909065450591,0.758362946423036,0.7337267894162748,0.7752342786587907,0.7461361438817149
0.02	GEE	0.5295135375462086,0.5465228034749903,0.5324418934737842,0.561213555280899,0.5552076736970194,0.531296361080126,0.5280382899824592,0.5096500763635894,0.5537739857569477,0.5659527374036633,0.5643804228411866,0.5503958456077244,0.543402946957258,0.5323740829629042,0.5262619057234104,0.54991614598846,0.5355651876908589,0.5466323235492742,0.5509144349812941,0.5195904861776314,0.5584476704428666,0.5424274788056076,0.5524876629991684,0.5470543917277056,0.5237316480178518,0.5399957574934434,0.5273880731350535,0.5347931177528473,0.5392920349540203,0.5361754661774424,0.5448633361288074,0.5369178196735062,0.5362710398897984,0.5487046001007123,0.546830986436255,0.5263731057531164,0.5366905981495006,0.5680176811721188,0.5423029974489079,0.5514916600675981,0.5550190570495158,0.5043961249245863,0.5391728602975077,0.5632754904591046,0.5646413820541348,0.523619910167332,0.5351396728658094,0.545438732587026,0.5393888095861011,0.5297255067656901
0.02	GNN	0.7099275440278193,0.7112058002173226,0.6862841749268318,0.7257421979392944,0.729394904420576,0.7029814808197852,0.696399241339436,0.6875326809653259,0.7303022571218412,0.7405673737930895,0.7381132216808308,0.7431104301088124,0.6910337259639175,0.6754234051671529,0.7142999261516577,0.7344158855020261,0.6937853757258926,0.7004129365377213,0.7199846858680393,0.6817787695170944,0.7359492956430123,0.7113855821061178,0.74052155673794,0.6807770250198879,0.6947546968586128,0.699204022732997,0.6958528617292434,0.700859185681515,0.6858937298829624,0.7011905024258189,0.7280212132787734,0.6971414045860895,0.687559087913933,0.7278579006756386,0.6876940901789922,0.6978225770753322,0.7149515981067013,0.7467475928905738,0.7123635146330995,0.709067563395146,0.7153317436366856,0.6602033889682039,0.6871245766763924,0.7268007097298528,0.7253284578281223,0.6590429777498683,0.686390134555267,0.740586230264821,0.7267860886624569,0.6919603306523595
0.02	GG	0.7015610271415165,0.6861277172921258,0.6718017918624761,0.7232157902095898,0.7197384929961472,0.6744596529065201,0.6783241349311662,0.6663083558278096,0.7139569815987191,0.733760758669399,0.7410336995163713,0.7042728071667324,0.5353325481830018,0.6585233378494129,0.692558229669177,0.7032594713710361,0.6499567921521823,0.6926505086257507,0.6896121065250975,0.6785966372409722,0.5592514335185588,0.691691764662939,0.6924731806047643,0.7087419949539214,0.6861930679472796,0.701557465387562,0.6751930841544518,0.6698387665741038,0.6957950019370439,0.6843385040056379,0.7039876755746272,0.6819186780853361,0.6942445713298677,0.7323159560798809,0.6905791854022231,0.6936216341155396,0.6964039510070666,0.7527203633959386,0.7093356593521607,0.7095842311394054,0.7170433642885573,0.6706758620736261,0.6620189648496708,0.7172254459796779,0.7082401930827914,0.5204843488288149,0.6825420092996848,0.6898024725564118,0.7305839166541548,0.668343332187288
0.02	GG2	0.7031769231640669,0.6888222797244652,0.6897267718057971,0.7257716193843587,0.7178414766111108,0.6709598079565308,0.670967147566804,0.6600015373669444,0.7120690526382569,0.720330051803052,0.7371117012647528,0.7074422712846165,0.5052321613015706,0.6664877808467363,0.6811159925627324,0.7000391593208911,0.6600139923598335,0.6894530579545362,0.697238063691624,0.6753606165966731,0.5043005299327132,0.691156654367019,0.698832906568421,0.7061060374777072,0.6908191260132389,0.7062730779748473,0.6836006419996504,0.6642553507169325,0.687353454102117,0.679052887659596,0.7008245484668897,0.6844434671682379,0.6854273038250468,0.721949397821048,0.6866779863466611,0.6811608608579673,0.6964362639475881,0.747995081785409,0.6872254806218518,0.7065645189192099,0.7109722699495612,0.6727395480171964,0.6719823575270967,0.7194961380263575,0.7124852354767297,0.4715453569027769,0.6812644848101622,0.6885052536815244,0.7338644725594372,0.6723617640397933
0.04	GEE	0.4616664054515924,0.5131285189499346,0.4816613467776441,0.47331431202402635,0.46765274532970974,0.4957534603670748,0.4648548722417076,0.4707009090383641,0.4557013622337733,0.452707928410666,0.4740754964739744,0.4874358354919751,0.4888341727718609,0.4923801712298635,0.4612854478177729,0.484729438473371,0.486277616954801,0.46510944578184665,0.47764688372114367,0.47891882669405283,0.4787971830705865,0.49061236022184895,0.4991091197714577,0.4560086500085876,0.48021341172245235,0.4773680578706897,0.47826722155712936,0.5223252449403328,0.5178598128824894,0.5003974914076151,0.5168175858144964,0.4564914062439215,0.48454313814072936,0.5106459917946498,0.47796331179376594,0.4590789321296617,0.42220266520683475,0.48828383979089734,0.4663321453805552,0.501059667987453,0.5062664549711863,0.4817757474500865,0.46492885297009473,0.4714968042079475,0.4823005908642435,0.49450038018343534,0.5026502646162221,0.45004862967474984,0.48942046739148487,0.49993933513745814
0.04	GNN	0.5909143178641982,0.6724362700452612,0.6459931644378321,0.5970060427273375,0.6416827893039737,0.6606599261919143,0.6224628036851118,0.6394144277741636,0.636308180468246,0.5773448683075947,0.6186845117242408,0.6143807865214748,0.6287958485432884,0.6485671704467283,0.6056284364450941,0.6252475077838161,0.6570904960467986,0.6334077515096873,0.6334505715001967,0.6487251849334748,0.637736509906906,0.6520355416257854,0.6494738562921031,0.6262911102530201,0.6300899328698151,0.6425420808881764,0.6570092560001697,0.6608463217968299,0.6677066384690963,0.6657709361723093,0.66826683752274,0.6174446311322735,0.6080743113465948,0.6594780686030531,0.6165882494249718,0.6284580730179902,0.6117664167313581,0.6426356719533498,0.6304009114912208,0.6484069861784364,0.6694806368618592,0.633506114296762,0.6324630992444208,0.6354389148792207,0.6106137071555537,0.6842057074373257,0.6707926691830703,0.6041046016747221,0.6377618056720691,0.66442298585101
