0.0	GEE	0.6825,0.658125,0.671875,0.675,0.679375,0.66,0.7,0.67375,0.6575,0.654375,0.644375,0.640625,0.671875,0.65375,0.659375,0.673125,0.656875,0.651875,0.695,0.66375,0.65375,0.6425,0.681875,0.66625,0.655,0.65625,0.655,0.6475,0.64875,0.665,0.659375,0.67,0.664375,0.643125,0.67,0.6525,0.64625,0.66625,0.669375,0.663125,0.65,0.676875,0.661875,0.63875,0.653125,0.659375,0.66875,0.655625,0.6625,0.6625,0.645625,0.658125,0.6625,0.6725,0.653125,0.658125,0.6675,0.651875,0.673125,0.659375,0.6725,0.6525,0.665625,0.650625,0.67,0.64125,0.6675,0.675,0.6625,0.6575,0.67,0.675,0.6525,0.650625,0.645625,0.664375,0.67625,0.640625,0.661875,0.683125,0.643125,0.645625,0.686875,0.6725,0.665625,0.678125,0.6875,0.6725,0.638125,0.654375,0.65875,0.6375,0.675,0.655,0.66,0.6725,0.62875,0.670625,0.69125,0.65375,0.69875,0.688125,0.63875,0.66125,0.646875,0.653125,0.6775,0.666875,0.67125,0.6525,0.67625,0.66,0.650625,0.643125,0.67125,0.665625,0.681875,0.638125,0.648125,0.6525,0.646875,0.645,0.666875,0.665625,0.679375,0.675,0.66,0.681875,0.66875,0.66875,0.62625,0.6825,0.669375,0.648125,0.665625,0.68,0.664375,0.660625,0.655,0.64875,0.681875,0.674375,0.671875,0.679375,0.681875,0.63875,0.66625,0.663125,0.67625,0.67,0.65875,0.644375,0.664375,0.68625,0.64125,0.680625,0.658125,0.6725,0.669375,0.67625,0.67625,0.6525,0.669375,0.673125,0.669375,0.641875,0.636875,0.6775,0.665625,0.69125,0.64875,0.674375,0.67,0.633125,0.668125,0.676875,0.639375,0.659375,0.66875,0.653125,0.681875,0.669375,0.6625,0.645,0.6575,0.688125,0.6525,0.63875,0.660625,0.65625,0.66,0.69,0.651875,0.659375,0.675,0.648125,0.671875,0.66125,0.64625,0.669375
0.0	GNN	0.5925,0.505625,0.56,0.715625,0.641875,0.635,0.414375,0.5275,0.480625,0.653125,0.60375,0.646875,0.548125,0.556875,0.384375,0.534375,0.501875,0.544375,0.715625,0.459375,0.623125,0.485,0.6025,0.511875,0.45875,0.52,0.438125,0.5275,0.4825,0.47,0.515625,0.521875,0.528125,0.656875,0.574375,0.66625,0.63,0.39375,0.569375,0.494375,0.606875,0.44875,0.505,0.563125,0.480625,0.54,0.415625,0.61875,0.55375,0.590625,0.435625,0.550625,0.723125,0.574375,0.596875,0.5075,0.550625,0.646875,0.4525,0.628125,0.485,0.54625,0.563125,0.6625,0.5675,0.51125,0.45375,0.64875,0.53625,0.5025,0.555,0.52875,0.57875,0.53,0.46125,0.7625,0.524375,0.491875,0.603125,0.615625,0.489375,0.440625,0.6725,0.604375,0.468125,0.65875,0.533125,0.588125,0.564375,0.655625,0.478125,0.61875,0.54875,0.595625,0.456875,0.54,0.589375,0.605625,0.6925,0.5625,0.46375,0.518125,0.661875,0.61375,0.619375,0.474375,0.529375,0.615,0.573125,0.520625,0.5975,0.6,0.6325,0.588125,0.48375,0.483125,0.513125,0.50375,0.575,0.456875,0.50125,0.428125,0.44875,0.413125,0.58875,0.625,0.4775,0.555,0.5375,0.54625,0.528125,0.543125,0.58375,0.576875,0.62375,0.551875,0.553125,0.449375,0.6,0.52875,0.4375,0.458125,0.61875,0.681875,0.423125,0.550625,0.571875,0.5075,0.551875,0.47,0.635625,0.509375,0.5625,0.554375,0.571875,0.34625,0.5375,0.649375,0.58625,0.56,0.62375,0.66,0.575625,0.423125,0.525625,0.568125,0.459375,0.46,0.54,0.635,0.565,0.740625,0.50375,0.5075,0.573125,0.50875,0.545625,0.48125,0.61375,0.613125,0.4725,0.49125,0.530625,0.559375,0.5425,0.60125,0.6225,0.554375,0.525625,0.621875,0.564375,0.521875,0.5225,0.608125,0.59125,0.4825,0.621875,0.54625,0.398125,0.659375
0.0	GG	0.678125,0.72,0.795625,0.7175,0.568125,0.78875,0.72125,0.65875,0.6525,0.7075,0.76,0.68625,0.721875,0.7825,0.6325,0.68625,0.75,0.70625,0.7375,0.751875,0.690625,0.70875,0.725,0.7175,0.67,0.676875,0.621875,0.73375,0.606875,0.826875,0.644375,0.638125,0.683125,0.7125,0.70875,0.675,0.71,0.80875,0.695,0.670625,0.653125,0.726875,0.791875,0.764375,0.7575,0.664375,0.8175,0.820625,0.66,0.711875,0.68375,0.72,0.796875,0.734375,0.735,0.758125,0.74375,0.85,0.681875,0.536875,0.67,0.674375,0.675625,0.710625,0.739375,0.60375,0.7725,0.666875,0.749375,0.65625,0.624375,0.656875,0.755,0.66375,0.613125,0.788125,0.66625,0.696875,0.7625,0.726875,0.77875,0.765625,0.6675,0.65375,0.7325,0.51,0.8675,0.743125,0.7125,0.5525,0.755625,0.710625,0.698125,0.688125,0.794375,0.6975,0.60625,0.62,0.67125,0.754375,0.746875,0.691875,0.82625,0.8125,0.6325,0.70125,0.720625,0.689375,0.676875,0.720625,0.763125,0.65875,0.839375,0.69875,0.77875,0.59125,0.756875,0.544375,0.811875,0.655625,0.61125,0.57,0.773125,0.76125,0.681875,0.794375,0.726875,0.679375,0.731875,0.70625,0.638125,0.81125,0.6725,0.725,0.708125,0.70375,0.7925,0.7025,0.74375,0.75,0.743125,0.741875,0.763125,0.68375,0.720625,0.753125,0.68625,0.77125,0.6775,0.781875,0.77125,0.81875,0.67875,0.71625,0.7675,0.74125,0.6975,0.745,0.686875,0.649375,0.715,0.813125,0.694375,0.67375,0.58625,0.5625,0.66125,0.72625,0.73625,0.7575,0.62875,0.69,0.755,0.714375,0.72875,0.753125,0.720625,0.761875,0.703125,0.72375,0.70375,0.85375,0.7175,0.855625,0.758125,0.66125,0.73,0.68375,0.63875,0.734375,0.72,0.765625,0.65375,0.66,0.755,0.715,0.603125,0.64375,0.781875,0.735
0.0	GG2	0.790625,0.796875,0.844375,0.810625,0.82375,0.82625,0.796875,0.795,0.744375,0.701875,0.765625,0.75875,0.805625,0.765625,0.6625,0.69625,0.84,0.8325,0.806875,0.78375,0.728125,0.7725,0.77375,0.71375,0.69875,0.725625,0.794375,0.8525,0.695,0.76,0.75,0.68125,0.869375,0.84125,0.860625,0.79,0.79,0.83125,0.7175,0.835625,0.66125,0.7275,0.81,0.865,0.8475,0.795,0.83125,0.84375,0.713125,0.83125,0.649375,0.721875,0.8925,0.821875,0.75625,0.755625,0.796875,0.855,0.719375,0.79625,0.756875,0.78125,0.745,0.763125,0.833125,0.768125,0.8,0.708125,0.759375,0.675625,0.76875,0.80875,0.8325,0.826875,0.84875,0.86875,0.78125,0.866875,0.849375,0.79875,0.845,0.851875,0.769375,0.745625,0.8175,0.65625,0.89375,0.833125,0.735,0.825625,0.823125,0.730625,0.83875,0.675,0.783125,0.7825,0.708125,0.750625,0.800625,0.835,0.8575,0.79375,0.86625,0.806875,0.765625,0.776875,0.800625,0.79125,0.808125,0.7,0.84,0.67125,0.869375,0.793125,0.849375,0.73125,0.7975,0.74625,0.83625,0.736875,0.695,0.710625,0.8325,0.75,0.74375,0.81875,0.75125,0.79,0.73875,0.789375,0.7275,0.750625,0.73375,0.82625,0.78125,0.714375,0.86625,0.72875,0.799375,0.84625,0.755625,0.849375,0.819375,0.708125,0.849375,0.844375,0.7175,0.794375,0.806875,0.7825,0.7975,0.8475,0.73375,0.80625,0.74375,0.74625,0.7475,0.809375,0.723125,0.85875,0.800625,0.825625,0.735625,0.72875,0.82,0.579375,0.74625,0.794375,0.800625,0.805,0.86875,0.711875,0.825625,0.833125,0.76875,0.803125,0.78,0.840625,0.745,0.781875,0.7425,0.841875,0.854375,0.869375,0.785625,0.741875,0.756875,0.768125,0.679375,0.8475,0.8025,0.841875,0.73,0.76125,0.78125,0.745,0.73125,0.668125,0.78625,0.805
0.02	GEE	0.621875,0.643125,0.611875,0.63625,0.61375,0.63125,0.614375,0.635625,0.6375,0.630625,0.624375,0.6075,0.623125,0.605625,0.64375,0.61,0.63375,0.615625,0.6625,0.6075,0.631875,0.60875,0.611875,0.620625,0.619375,0.645625,0.625,0.63125,0.618125,0.63375,0.639375,0.628125,0.635625,0.611875,0.605,0.633125,0.651875,0.61625,0.609375,0.618125,0.61,0.63625,0.636875,0.6525,0.65375,0.610625,0.63875,0.64,0.64125,0.644375,0.60875,0.62125,0.624375,0.626875,0.625,0.623125,0.621875,0.626875,0.6525,0.61,0.6425,0.62875,0.646875,0.60375,0.655,0.621875,0.645,0.623125,0.630625,0.62875,0.613125,0.65125,0.641875,0.616875,0.63,0.62375,0.624375,0.606875,0.61125,0.614375,0.63375,0.624375,0.639375,0.6075,0.64625,0.62875,0.63,0.650625,0.6225,0.633125,0.630625,0.628125,0.646875,0.638125,0.640625,0.639375,0.6375,0.620625,0.5975,0.6,0.62625,0.6475,0.616875,0.630625,0.62625,0.63375,0.621875,0.626875,0.630625,0.615,0.620625,0.611875,0.64,0.630625,0.6225,0.65,0.62875,0.61,0.629375,0.605,0.63875,0.6375,0.62875,0.631875,0.6475,0.635625,0.6125,0.614375,0.618125,0.635625,0.629375,0.64375,0.625,0.6475,0.634375,0.608125,0.608125,0.639375,0.6275,0.653125,0.64,0.6025,0.625625,0.644375,0.66,0.62125,0.6225,0.63875,0.62,0.64625,0.609375,0.6225,0.638125,0.61375,0.62875,0.621875,0.631875,0.615,0.624375,0.610625,0.644375,0.643125,0.635625,0.658125,0.61875,0.635625,0.604375,0.6375,0.645,0.6275,0.62625,0.6375,0.65625,0.645625,0.63125,0.605,0.606875,0.64625,0.6275,0.600625,0.621875,0.635625,0.6175,0.63,0.6325,0.616875,0.630625,0.625,0.6375,0.629375,0.616875,0.613125,0.645,0.619375,0.6525,0.643125,0.6175,0.635,0.635,0.631875
0.02	GNN	0.535625,0.465625,0.459375,0.503125,0.489375,0.531875,0.391875,0.40875,0.413125,0.52125,0.454375,0.545,0.47375,0.500625,0.3325,0.479375,0.4475,0.418125,0.5175,0.359375,0.491875,0.36375,0.500625,0.435625,0.36875,0.438125,0.41875,0.444375,0.44625,0.431875,0.458125,0.47125,0.45875,0.534375,0.491875,0.52375,0.473125,0.413125,0.481875,0.375,0.531875,0.408125,0.399375,0.475,0.425625,0.44625,0.41875,0.470625,0.418125,0.498125,0.416875,0.46625,0.594375,0.52,0.49375,0.426875,0.4425,0.525,0.33625,0.4975,0.411875,0.434375,0.468125,0.575,0.480625,0.445,0.40125,0.524375,0.391875,0.355625,0.424375,0.429375,0.529375,0.466875,0.42125,0.605,0.461875,0.42125,0.516875,0.52125,0.413125,0.39875,0.51875,0.476875,0.445,0.5225,0.410625,0.503125,0.526875,0.594375,0.403125,0.536875,0.356875,0.43,0.385625,0.4275,0.4725,0.489375,0.58625,0.435625,0.410625,0.413125,0.57625,0.499375,0.508125,0.455625,0.45,0.473125,0.473125,0.413125,0.514375,0.51375,0.5325,0.481875,0.3775,0.37125,0.476875,0.460625,0.4975,0.44,0.4175,0.421875,0.428125,0.35375,0.46625,0.53875,0.448125,0.454375,0.454375,0.41375,0.4625,0.480625,0.513125,0.4825,0.534375,0.429375,0.435625,0.40875,0.431875,0.415,0.408125,0.375,0.45875,0.566875,0.439375,0.46375,0.4125,0.4775,0.474375,0.41,0.563125,0.385625,0.495,0.42625,0.494375,0.2975,0.4575,0.58375,0.464375,0.418125,0.5225,0.499375,0.47,0.3675,0.4575,0.4275,0.420625,0.35875,0.484375,0.451875,0.406875,0.553125,0.469375,0.346875,0.473125,0.45125,0.466875,0.41,0.476875,0.554375,0.4,0.40375,0.438125,0.453125,0.509375,0.484375,0.459375,0.48625,0.42125,0.51125,0.46,0.488125,0.435625,0.491875,0.5,0.405,0.481875,0.435625,0.326875,0.486875
0.02	GG	0.57875,0.68125,0.69125,0.654375,0.52625,0.724375,0.5375,0.64,0.645625,0.671875,0.655,0.62875,0.666875,0.69125,0.580625,0.575625,0.673125,0.63375,0.67375,0.646875,0.646875,0.690625,0.66125,0.65375,0.6275,0.626875,0.56375,0.690625,0.61375,0.74125,0.610625,0.58375,0.68875,0.6925,0.655,0.633125,0.67375,0.73625,0.615625,0.645625,0.61625,0.641875,0.686875,0.67125,0.664375,0.609375,0.7225,0.713125,0.63,0.684375,0.614375,0.66875,0.71375,0.656875,0.631875,0.654375,0.68375,0.725625,0.638125,0.614375,0.606875,0.63375,0.626875,0.62125,0.640625,0.546875,0.683125,0.62125,0.641875,0.62125,0.60875,0.619375,0.710625,0.62625,0.606875,0.70625,0.6175,0.64375,0.661875,0.643125,0.713125,0.716875,0.5925,0.555,0.68625,0.516875,0.741875,0.67375,0.6225,0.62625,0.66375,0.680625,0.679375,0.60375,0.686875,0.658125,0.565,0.621875,0.605,0.670625,0.696875,0.61625,0.71,0.695625,0.61125,0.621875,0.66375,0.630625,0.6325,0.709375,0.7025,0.60625,0.734375,0.6525,0.649375,0.61125,0.690625,0.52125,0.743125,0.625625,0.626875,0.5975,0.7175,0.68125,0.623125,0.71,0.66875,0.61125,0.68625,0.635625,0.633125,0.735,0.6275,0.699375,0.670625,0.60375,0.704375,0.643125,0.6775,0.676875,0.6625,0.6375,0.638125,0.625625,0.638125,0.6875,0.620625,0.7275,0.63625,0.668125,0.710625,0.679375,0.64875,0.63875,0.626875,0.683125,0.646875,0.68,0.640625,0.590625,0.6875,0.70375,0.598125,0.63875,0.57625,0.598125,0.59,0.660625,0.68875,0.67625,0.5925,0.653125,0.691875,0.660625,0.66125,0.719375,0.670625,0.716875,0.638125,0.58875,0.6425,0.771875,0.6775,0.7375,0.655,0.60125,0.63,0.6375,0.598125,0.626875,0.6475,0.69125,0.594375,0.6325,0.7225,0.638125,0.58,0.6175,0.680625,0.686875
0.02	GG2	0.6425,0.739375,0.72125,0.65,0.724375,0.75375,0.668125,0.6625,0.70125,0.715,0.710625,0.67375,0.68375,0.6675,0.640625,0.61875,0.731875,0.71625,0.693125,0.64875,0.65375,0.6875,0.68375,0.685625,0.613125,0.671875,0.616875,0.708125,0.64,0.733125,0.63375,0.64625,0.769375,0.69625,0.689375,0.666875,0.70375,0.67375,0.678125,0.72875,0.63625,0.66,0.690625,0.743125,0.701875,0.65875,0.745625,0.69375,0.655,0.70875,0.668125,0.6675,0.720625,0.709375,0.69625,0.68,0.716875,0.753125,0.65625,0.675625,0.70375,0.6775,0.691875,0.705625,0.674375,0.62375,0.693125,0.63,0.649375,0.625,0.669375,0.66125,0.69875,0.688125,0.62,0.66375,0.65625,0.694375,0.69875,0.634375,0.750625,0.785625,0.628125,0.608125,0.768125,0.62,0.740625,0.73125,0.725,0.68875,0.70875,0.665,0.7075,0.635,0.68625,0.72625,0.64125,0.650625,0.609375,0.71125,0.641875,0.610625,0.709375,0.71875,0.67875,0.690625,0.63375,0.653125,0.58875,0.74125,0.6675,0.6525,0.740625,0.72125,0.7125,0.65125,0.72,0.703125,0.73875,0.614375,0.599375,0.585625,0.759375,0.66875,0.658125,0.723125,0.689375,0.68625,0.700625,0.69375,0.60625,0.740625,0.69125,0.7,0.695,0.6825,0.709375,0.666875,0.69125,0.7525,0.6825,0.73,0.68625,0.639375,0.72875,0.74,0.6375,0.74125,0.721875,0.72375,0.7375,0.67625,0.66875,0.6325,0.72875,0.683125,0.70375,0.699375,0.66,0.64375,0.693125,0.709375,0.63375,0.62875,0.595,0.620625,0.634375,0.724375,0.696875,0.7075,0.6775,0.709375,0.778125,0.724375,0.66875,0.699375,0.704375,0.740625,0.698125,0.64625,0.663125,0.769375,0.739375,0.730625,0.711875,0.639375,0.689375,0.671875,0.626875,0.684375,0.670625,0.723125,0.67,0.66375,0.6775,0.688125,0.608125,0.630625,0.704375,0.68875
0.04	GEE	0.574375,0.5925,0.545,0.571875,0.57625,0.58125,0.57625,0.563125,0.591875,0.595,0.585,0.594375,0.595625,0.61375,0.581875,0.611875,0.588125,0.584375,0.59625,0.616875,0.595625,0.57625,0.585,0.581875,0.600625,0.578125,0.594375,0.600625,0.605,0.5825,0.595,0.58125,0.585,0.57875,0.6075,0.61125,0.59125,0.591875,0.584375,0.5775,0.593125,0.58625,0.586875,0.573125,0.575,0.593125,0.57375,0.601875,0.61,0.596875,0.5825,0.57625,0.6025,0.58125,0.595,0.58,0.595,0.6,0.5875,0.58375,0.575,0.588125,0.56875,0.6,0.600625,0.60125,0.5875,0.5875,0.61,0.57,0.6,0.58125,0.57875,0.581875,0.5775,0.5975,0.590625,0.59125,0.59,0.584375,0.5875,0.56625,0.58375,0.59,0.575625,0.590625,0.570625,0.579375,0.568125,0.598125,0.61875,0.57625,0.5825,0.609375,0.57375,0.596875,0.583125,0.58375,0.57625,0.56625,0.58375,0.590625,0.56,0.55875,0.59125,0.5825,0.589375,0.586875,0.58375,0.578125,0.565,0.593125,0.60125,0.54625,0.5775,0.588125,0.565,0.601875,0.6,0.598125,0.5925,0.583125,0.5975,0.6125,0.5775,0.61,0.5675,0.575625,0.575625,0.60125,0.595,0.580625,0.598125,0.59625,0.57625,0.549375,0.571875,0.589375,0.583125,0.601875,0.578125,0.591875,0.57625,0.570625,0.59375,0.590625,0.60375,0.610625,0.585625,0.604375,0.58125,0.5875,0.580625,0.590625,0.59625,0.58125,0.59,0.56375,0.596875,0.6025,0.570625,0.57125,0.61875,0.591875,0.58125,0.57625,0.57875,0.58375,0.59,0.619375,0.595625,0.58875,0.554375,0.579375,0.599375,0.595625,0.593125,0.57125,0.595625,0.556875,0.56875,0.6,0.575625,0.549375,0.576875,0.5825,0.588125,0.58375,0.56625,0.608125,0.581875,0.616875,0.590625,0.566875,0.568125,0.59,0.585625,0.609375,0.571875,0.585625
0.04	GNN	0.481875,0.389375,0.39,0.40125,0.339375,0.435625,0.3625,0.3425,0.375,0.37375,0.38375,0.499375,0.426875,0.41625,0.324375,0.428125,0.42875,0.396875,0.41875,0.293125,0.4425,0.34625,0.45125,0.40875,0.323125,0.35875,0.378125,0.40625,0.41375,0.354375,0.4,0.414375,0.390625,0.45375,0.408125,0.399375,0.42875,0.3525,0.423125,0.336875,0.43875,0.339375,0.31375,0.393125,0.394375,0.38875,0.3875,0.391875,0.36,0.418125,0.393125,0.40375,0.50625,0.43875,0.445,0.35,0.395,0.459375,0.309375,0.45125,0.39875,0.378125,0.350625,0.5475,0.4425,0.384375,0.345,0.47375,0.3775,0.3425,0.366875,0.37625,0.408125,0.355,0.35625,0.546875,0.413125,0.3975,0.45,0.45125,0.336875,0.360625,0.46,0.4175,0.385625,0.44375,0.396875,0.464375,0.415625,0.54,0.326875,0.4275,0.334375,0.3575,0.3325,0.400625,0.42625,0.44125,0.478125,0.36,0.3575,0.33875,0.4975,0.438125,0.456875,0.38875,0.41125,0.41875,0.41125,0.38875,0.465,0.489375,0.45875,0.4075,0.3375,0.32875,0.4275,0.45,0.453125,0.3775,0.335,0.351875,0.40625,0.32625,0.411875,0.49125,0.433125,0.40625,0.389375,0.3875,0.41625,0.4175,0.415,0.40875,0.45125,0.319375,0.38625,0.353125,0.370625,0.344375,0.31625,0.306875,0.343125,0.500625,0.4125,0.3875,0.405,0.46875,0.451875,0.311875,0.451875,0.3475,0.4075,0.41125,0.410625,0.2875,0.413125,0.46,0.435625,0.343125,0.450625,0.403125,0.43,0.29,0.409375,0.415,0.370625,0.32625,0.41,0.4175,0.373125,0.420625,0.408125,0.30125,0.404375,0.403125,0.413125,0.375625,0.38875,0.45375,0.344375,0.3525,0.375,0.389375,0.405,0.38,0.37875,0.41375,0.378125,0.43,0.436875,0.409375,0.365,0.408125,0.436875,0.384375,0.415625,0.364375,0.31375,0.4625
