0.0	GEE	0.71875,0.6675,0.688125,0.7025,0.686875,0.69875,0.729375,0.695625,0.680625,0.695,0.72375,0.69,0.720625,0.71375,0.71125,0.695625,0.720625,0.69125,0.70625,0.711875,0.686875,0.708125,0.714375,0.681875,0.66375,0.70375,0.705625,0.7,0.709375,0.6575,0.69625,0.701875,0.703125,0.66625,0.72375,0.663125,0.6875,0.70375,0.7,0.69125,0.72375,0.7175,0.709375,0.705625,0.69625,0.7,0.691875,0.700625,0.731875,0.6775,0.696875,0.69,0.735625,0.6825,0.701875,0.69,0.6975,0.6925,0.70125,0.7075,0.68625,0.70625,0.678125,0.67875,0.704375,0.690625,0.7025,0.729375,0.700625,0.7125,0.685,0.68125,0.635,0.65875,0.71625,0.70625,0.69,0.690625,0.703125,0.711875,0.70125,0.63125,0.706875,0.720625,0.711875,0.705625,0.719375,0.70625,0.650625,0.69875,0.701875,0.728125,0.690625,0.73,0.7125,0.72875,0.686875,0.694375,0.731875,0.70375,0.730625,0.69375,0.688125,0.71,0.715,0.68375,0.6875,0.725625,0.693125,0.7,0.719375,0.655,0.70375,0.665,0.689375,0.70875,0.715625,0.62875,0.7075,0.69875,0.68375,0.695,0.69625,0.698125,0.714375,0.71375,0.709375,0.72625,0.694375,0.63625,0.7025,0.680625,0.69375,0.703125,0.643125,0.638125,0.695,0.705,0.695625,0.709375,0.705625,0.653125,0.683125,0.659375,0.7025,0.69375,0.695625,0.708125,0.711875,0.714375,0.694375,0.695625,0.719375,0.720625,0.728125,0.684375,0.71,0.715,0.71625,0.683125,0.683125,0.675,0.7025,0.721875,0.6675,0.70625,0.665,0.67625,0.71,0.74125,0.709375,0.718125,0.695,0.68625,0.70375,0.728125,0.693125,0.685625,0.74,0.67,0.675625,0.666875,0.69125,0.72125,0.7,0.6875,0.705,0.73125,0.73125,0.70375,0.724375,0.71875,0.644375,0.6875,0.708125,0.670625,0.708125,0.71625,0.705625,0.715625
0.0	GNN	0.71625,0.539375,0.585,0.659375,0.6475,0.66875,0.508125,0.604375,0.5725,0.571875,0.675625,0.72,0.48625,0.62125,0.406875,0.6325,0.46125,0.46875,0.691875,0.446875,0.6575,0.52125,0.570625,0.56625,0.536875,0.54125,0.48375,0.608125,0.483125,0.44625,0.590625,0.518125,0.525625,0.693125,0.569375,0.696875,0.61125,0.4325,0.56375,0.52125,0.570625,0.5375,0.5625,0.63,0.5575,0.64625,0.47125,0.628125,0.52375,0.599375,0.460625,0.47375,0.7875,0.573125,0.625,0.528125,0.67,0.69125,0.505625,0.625,0.4425,0.72,0.62,0.74875,0.575625,0.455,0.505625,0.6275,0.531875,0.505625,0.57875,0.535,0.674375,0.445625,0.46625,0.74875,0.628125,0.62125,0.578125,0.67,0.55375,0.46875,0.661875,0.64875,0.510625,0.691875,0.54875,0.66,0.605,0.735,0.431875,0.575,0.581875,0.665,0.506875,0.615,0.670625,0.579375,0.723125,0.61125,0.521875,0.51125,0.67125,0.62125,0.71625,0.495625,0.625625,0.688125,0.45125,0.451875,0.52375,0.635,0.5825,0.7125,0.5475,0.4875,0.553125,0.584375,0.625625,0.50375,0.5125,0.529375,0.50625,0.38625,0.62,0.691875,0.4525,0.54375,0.62625,0.48125,0.5,0.494375,0.7,0.56875,0.609375,0.551875,0.585625,0.515,0.52875,0.495625,0.5325,0.598125,0.5875,0.701875,0.544375,0.476875,0.49125,0.628125,0.6,0.56875,0.7175,0.516875,0.499375,0.536875,0.519375,0.44125,0.54,0.635625,0.595,0.586875,0.63875,0.701875,0.638125,0.450625,0.58125,0.683125,0.50375,0.464375,0.445,0.650625,0.52,0.6925,0.6,0.493125,0.713125,0.638125,0.600625,0.561875,0.67125,0.59625,0.479375,0.5025,0.600625,0.468125,0.600625,0.635625,0.669375,0.62125,0.65,0.568125,0.5675,0.589375,0.5125,0.5825,0.62875,0.545625,0.671875,0.59875,0.436875,0.5775
0.0	GG	0.751875,0.711875,0.783125,0.72875,0.725,0.78,0.72,0.721875,0.7275,0.765625,0.756875,0.67625,0.670625,0.8,0.6575,0.659375,0.71625,0.76,0.7475,0.765625,0.741875,0.775625,0.71125,0.733125,0.6325,0.695625,0.70125,0.698125,0.6,0.813125,0.636875,0.531875,0.73375,0.7975,0.72625,0.735625,0.744375,0.810625,0.589375,0.771875,0.71,0.688125,0.771875,0.81625,0.755625,0.756875,0.809375,0.825,0.70125,0.670625,0.68,0.755,0.780625,0.805,0.754375,0.7375,0.755625,0.82375,0.691875,0.71375,0.646875,0.758125,0.68375,0.7475,0.796875,0.674375,0.790625,0.725,0.78875,0.709375,0.66625,0.708125,0.786875,0.7775,0.6525,0.799375,0.583125,0.68625,0.78875,0.723125,0.804375,0.84375,0.686875,0.68375,0.665625,0.539375,0.868125,0.70125,0.70375,0.704375,0.76,0.798125,0.67875,0.695,0.76125,0.7625,0.68875,0.715625,0.74875,0.80125,0.718125,0.7075,0.856875,0.82375,0.675,0.75625,0.705625,0.72625,0.7,0.716875,0.75375,0.696875,0.856875,0.766875,0.776875,0.5075,0.7375,0.70375,0.81,0.665625,0.58,0.673125,0.825,0.724375,0.75625,0.789375,0.695,0.66875,0.721875,0.70125,0.669375,0.8075,0.65125,0.76875,0.79,0.730625,0.8175,0.768125,0.71875,0.788125,0.74375,0.718125,0.825,0.70375,0.7125,0.8175,0.71,0.8275,0.68875,0.7875,0.7975,0.78125,0.6825,0.69375,0.7825,0.799375,0.753125,0.795,0.71375,0.68875,0.759375,0.86625,0.716875,0.673125,0.613125,0.61625,0.73,0.70125,0.78,0.7275,0.684375,0.67125,0.733125,0.73875,0.72125,0.76,0.738125,0.781875,0.735,0.70125,0.7175,0.835625,0.7275,0.839375,0.81125,0.7425,0.738125,0.7225,0.679375,0.714375,0.78875,0.776875,0.638125,0.6675,0.77,0.7325,0.620625,0.6825,0.81125,0.678125
0.0	GG2	0.8525,0.814375,0.84625,0.78375,0.700625,0.878125,0.81,0.73125,0.8025,0.82125,0.844375,0.816875,0.776875,0.809375,0.751875,0.79375,0.801875,0.831875,0.795,0.775,0.785,0.745625,0.785625,0.73625,0.700625,0.76875,0.76375,0.76,0.73125,0.8525,0.851875,0.8,0.854375,0.88125,0.866875,0.7675,0.811875,0.85375,0.86125,0.714375,0.7675,0.788125,0.846875,0.875,0.778125,0.793125,0.885625,0.820625,0.815625,0.801875,0.706875,0.78,0.89375,0.83625,0.8,0.846875,0.82125,0.86,0.738125,0.80625,0.698125,0.77625,0.75125,0.838125,0.866875,0.76875,0.826875,0.73125,0.8125,0.77,0.77125,0.763125,0.81625,0.835,0.788125,0.82375,0.771875,0.871875,0.855625,0.8025,0.78625,0.853125,0.749375,0.70625,0.86,0.705625,0.88125,0.84625,0.835625,0.8075,0.794375,0.794375,0.8575,0.695625,0.819375,0.815625,0.7075,0.663125,0.8,0.835,0.8175,0.75375,0.83,0.813125,0.82,0.763125,0.753125,0.80625,0.709375,0.83125,0.865,0.71,0.861875,0.833125,0.8475,0.619375,0.8125,0.85125,0.8525,0.730625,0.69375,0.7425,0.8625,0.836875,0.78,0.816875,0.7775,0.771875,0.735,0.675,0.735,0.858125,0.754375,0.820625,0.74,0.7875,0.825625,0.700625,0.7825,0.80125,0.735625,0.85375,0.855625,0.70375,0.806875,0.849375,0.690625,0.855625,0.853125,0.84625,0.82375,0.85875,0.775625,0.81,0.784375,0.7625,0.795,0.85625,0.71875,0.685625,0.774375,0.86125,0.720625,0.7225,0.86375,0.70875,0.795,0.745625,0.795625,0.855,0.79125,0.795625,0.818125,0.866875,0.764375,0.81375,0.83875,0.863125,0.849375,0.803125,0.803125,0.865,0.82125,0.889375,0.826875,0.779375,0.811875,0.831875,0.741875,0.871875,0.873125,0.849375,0.709375,0.69375,0.81125,0.818125,0.7875,0.77375,0.801875,0.808125
0.02	GEE	0.694375,0.645,0.675,0.65625,0.674375,0.661875,0.665,0.654375,0.6625,0.591875,0.625625,0.684375,0.649375,0.65625,0.565625,0.59625,0.689375,0.593125,0.644375,0.666875,0.67125,0.6575,0.665625,0.659375,0.628125,0.679375,0.635625,0.6875,0.583125,0.6575,0.658125,0.64625,0.630625,0.67125,0.6775,0.65625,0.68,0.66625,0.590625,0.6725,0.616875,0.67875,0.663125,0.595625,0.669375,0.590625,0.646875,0.685,0.676875,0.695625,0.684375,0.63375,0.655625,0.68125,0.66125,0.66,0.6775,0.66375,0.660625,0.66625,0.676875,0.685,0.664375,0.63125,0.648125,0.629375,0.65375,0.648125,0.674375,0.65625,0.583125,0.613125,0.670625,0.650625,0.625625,0.681875,0.6925,0.65125,0.631875,0.6325,0.636875,0.645625,0.69625,0.6525,0.694375,0.658125,0.6225,0.693125,0.683125,0.66875,0.675,0.62625,0.61375,0.64125,0.645,0.67125,0.66125,0.661875,0.693125,0.65,0.586875,0.6825,0.61125,0.67125,0.669375,0.67125,0.680625,0.6375,0.700625,0.681875,0.6675,0.66875,0.62,0.6325,0.6625,0.70125,0.6475,0.584375,0.664375,0.61,0.64875,0.63625,0.655625,0.676875,0.66375,0.645625,0.644375,0.63875,0.605,0.65875,0.606875,0.5975,0.61875,0.653125,0.6675,0.694375,0.65375,0.653125,0.648125,0.680625,0.65625,0.685,0.683125,0.6225,0.688125,0.5975,0.6025,0.65625,0.57,0.663125,0.65375,0.625,0.67375,0.653125,0.64125,0.678125,0.621875,0.66875,0.65375,0.65625,0.65875,0.5975,0.634375,0.694375,0.6275,0.669375,0.5975,0.636875,0.6775,0.653125,0.67375,0.655625,0.688125,0.598125,0.68375,0.6875,0.649375,0.609375,0.661875,0.65125,0.65625,0.60875,0.639375,0.669375,0.65125,0.685,0.65375,0.684375,0.65875,0.660625,0.7025,0.590625,0.693125,0.626875,0.6775,0.64625,0.66125,0.668125,0.63625,0.688125
0.02	GNN	0.63125,0.49875,0.491875,0.525,0.500625,0.573125,0.44875,0.468125,0.518125,0.46375,0.570625,0.631875,0.425,0.544375,0.32,0.5475,0.445,0.42625,0.574375,0.388125,0.530625,0.34625,0.528125,0.496875,0.445625,0.440625,0.429375,0.521875,0.4275,0.408125,0.53875,0.479375,0.475,0.583125,0.518125,0.57875,0.518125,0.438125,0.54375,0.410625,0.44,0.475,0.505,0.53375,0.5075,0.571875,0.465625,0.500625,0.445625,0.5325,0.4375,0.435625,0.68625,0.510625,0.544375,0.494375,0.565,0.586875,0.381875,0.544375,0.375625,0.575625,0.51625,0.68,0.484375,0.393125,0.48875,0.4825,0.508125,0.404375,0.47625,0.489375,0.610625,0.395,0.37875,0.62375,0.490625,0.493125,0.536875,0.568125,0.480625,0.471875,0.561875,0.575625,0.475625,0.596875,0.51,0.584375,0.53625,0.695,0.3825,0.529375,0.441875,0.52125,0.454375,0.558125,0.601875,0.54875,0.63375,0.518125,0.42,0.47,0.599375,0.548125,0.60375,0.489375,0.54,0.56125,0.3875,0.42125,0.47,0.5375,0.525,0.6275,0.479375,0.42625,0.508125,0.533125,0.540625,0.484375,0.409375,0.461875,0.454375,0.38375,0.52375,0.6475,0.46875,0.464375,0.555625,0.4575,0.44875,0.45,0.621875,0.53,0.563125,0.41375,0.5175,0.471875,0.424375,0.416875,0.42625,0.49,0.506875,0.640625,0.52375,0.42625,0.443125,0.5625,0.489375,0.41125,0.615625,0.42375,0.455,0.530625,0.44125,0.33,0.505,0.540625,0.539375,0.509375,0.628125,0.57125,0.541875,0.346875,0.52375,0.52375,0.39,0.405625,0.3675,0.540625,0.429375,0.52625,0.52625,0.394375,0.539375,0.6175,0.515,0.513125,0.518125,0.57625,0.389375,0.39375,0.534375,0.413125,0.503125,0.588125,0.529375,0.523125,0.540625,0.515625,0.4725,0.523125,0.458125,0.44,0.588125,0.5,0.5725,0.44625,0.37,0.52625
0.02	GG	0.68125,0.673125,0.685625,0.7025,0.638125,0.716875,0.60625,0.66,0.71,0.71125,0.661875,0.640625,0.66125,0.7375,0.595,0.61125,0.674375,0.696875,0.675625,0.665,0.6525,0.713125,0.66,0.665625,0.59875,0.63625,0.623125,0.6675,0.61,0.725625,0.6075,0.60625,0.6975,0.745625,0.686875,0.678125,0.69375,0.736875,0.594375,0.72125,0.643125,0.6,0.696875,0.669375,0.66375,0.686875,0.72875,0.734375,0.62625,0.666875,0.63375,0.70125,0.671875,0.69625,0.66,0.67625,0.690625,0.74375,0.635,0.694375,0.626875,0.698125,0.701875,0.69125,0.674375,0.604375,0.718125,0.695,0.6925,0.675,0.674375,0.67875,0.746875,0.680625,0.668125,0.73375,0.5775,0.60625,0.709375,0.655625,0.74875,0.761875,0.63625,0.606875,0.640625,0.559375,0.771875,0.72125,0.6575,0.6475,0.6875,0.69875,0.68875,0.59375,0.65,0.69875,0.599375,0.66875,0.674375,0.711875,0.7275,0.634375,0.769375,0.746875,0.646875,0.645,0.67,0.704375,0.66125,0.708125,0.70125,0.629375,0.758125,0.68625,0.630625,0.59375,0.684375,0.595625,0.755,0.606875,0.5775,0.60125,0.754375,0.659375,0.661875,0.70625,0.611875,0.568125,0.72125,0.71125,0.633125,0.7275,0.63,0.728125,0.710625,0.6575,0.756875,0.704375,0.671875,0.72625,0.704375,0.68375,0.7325,0.675625,0.650625,0.731875,0.691875,0.770625,0.625625,0.74125,0.72625,0.679375,0.5975,0.62375,0.744375,0.74625,0.709375,0.710625,0.63125,0.6175,0.69875,0.76375,0.62875,0.6275,0.62125,0.624375,0.668125,0.6425,0.723125,0.63,0.658125,0.61125,0.684375,0.680625,0.650625,0.69875,0.665,0.753125,0.658125,0.574375,0.716875,0.77875,0.72875,0.7675,0.69375,0.688125,0.634375,0.699375,0.611875,0.606875,0.71875,0.715,0.609375,0.645,0.671875,0.675625,0.6475,0.6475,0.73125,0.64625
0.02	GG2	0.708125,0.6675,0.718125,0.71,0.6525,0.759375,0.726875,0.716875,0.699375,0.6725,0.66375,0.676875,0.71625,0.745625,0.673125,0.590625,0.753125,0.713125,0.73875,0.675,0.694375,0.6925,0.719375,0.68375,0.666875,0.678125,0.686875,0.720625,0.60375,0.756875,0.681875,0.6375,0.760625,0.753125,0.76875,0.739375,0.731875,0.7475,0.620625,0.72625,0.69125,0.70375,0.7225,0.77,0.7225,0.65125,0.735,0.7325,0.725625,0.710625,0.684375,0.6975,0.689375,0.758125,0.68125,0.709375,0.753125,0.76125,0.650625,0.739375,0.71875,0.685,0.7225,0.694375,0.749375,0.6375,0.750625,0.66625,0.699375,0.643125,0.700625,0.710625,0.765625,0.744375,0.714375,0.745625,0.688125,0.6875,0.76625,0.674375,0.751875,0.78125,0.646875,0.629375,0.704375,0.62125,0.7875,0.72,0.705625,0.6825,0.71125,0.730625,0.7025,0.59875,0.676875,0.70375,0.65,0.67375,0.725625,0.753125,0.746875,0.7075,0.765,0.77125,0.703125,0.71375,0.720625,0.72,0.721875,0.719375,0.675625,0.688125,0.78875,0.723125,0.743125,0.6925,0.725625,0.6825,0.743125,0.659375,0.65,0.72375,0.785,0.6875,0.678125,0.761875,0.755625,0.67125,0.719375,0.745,0.67125,0.791875,0.718125,0.754375,0.744375,0.72,0.77375,0.694375,0.661875,0.7325,0.658125,0.7675,0.74,0.61875,0.729375,0.775625,0.7,0.783125,0.653125,0.763125,0.740625,0.679375,0.69375,0.693125,0.743125,0.745625,0.755625,0.731875,0.6575,0.725625,0.735,0.7175,0.661875,0.6575,0.6125,0.681875,0.7025,0.7125,0.74625,0.749375,0.735625,0.660625,0.7425,0.690625,0.636875,0.716875,0.730625,0.7775,0.71625,0.675625,0.771875,0.789375,0.75,0.77375,0.713125,0.71375,0.688125,0.7625,0.6925,0.68625,0.75375,0.7325,0.6925,0.605625,0.770625,0.68875,0.66125,0.680625,0.7425,0.715
0.04	GEE	0.63375,0.570625,0.605625,0.593125,0.640625,0.58625,0.56125,0.60625,0.61,0.621875,0.58625,0.603125,0.580625,0.60375,0.6475,0.63375,0.59625,0.639375,0.58625,0.591875,0.614375,0.589375,0.601875,0.6375,0.589375,0.6,0.62,0.62125,0.63375,0.60375,0.55375,0.59,0.613125,0.60875,0.583125,0.649375,0.62625,0.61625,0.60125,0.62625,0.605625,0.56,0.59625,0.599375,0.600625,0.594375,0.554375,0.564375,0.604375,0.62375,0.65,0.585625,0.62,0.5975,0.560625,0.586875,0.63375,0.62375,0.60625,0.61625,0.62,0.605,0.609375,0.635625,0.630625,0.59625,0.6,0.57625,0.60125,0.63625,0.616875,0.620625,0.60625,0.621875,0.6225,0.62875,0.64875,0.643125,0.595,0.600625,0.616875,0.629375,0.65125,0.64,0.596875,0.634375,0.56375,0.636875,0.619375,0.62125,0.59625,0.583125,0.61375,0.623125,0.605,0.60375,0.614375,0.61125,0.66875,0.57125,0.581875,0.56625,0.560625,0.63,0.64625,0.574375,0.645625,0.595625,0.591875,0.616875,0.6175,0.593125,0.606875,0.610625,0.611875,0.608125,0.615,0.574375,0.60875,0.6325,0.56625,0.600625,0.64375,0.6375,0.636875,0.575,0.63375,0.615,0.63,0.628125,0.63375,0.64125,0.640625,0.645625,0.553125,0.615,0.623125,0.623125,0.62,0.640625,0.6175,0.571875,0.626875,0.625,0.631875,0.61625,0.65375,0.61875,0.62625,0.57375,0.61875,0.5975,0.654375,0.60875,0.565625,0.55125,0.605,0.6275,0.565,0.61375,0.538125,0.59125,0.65625,0.646875,0.62375,0.575625,0.594375,0.59875,0.62125,0.625,0.576875,0.56125,0.605,0.62375,0.55625,0.568125,0.60875,0.605625,0.648125,0.61125,0.57125,0.554375,0.60625,0.560625,0.63625,0.625625,0.609375,0.609375,0.593125,0.585625,0.6075,0.6375,0.629375,0.62375,0.589375,0.634375,0.626875,0.60125,0.63875,0.63375
0.04	GNN	0.584375,0.47875,0.4475,0.4325,0.380625,0.524375,0.41625,0.445,0.4575,0.37375,0.47625,0.57125,0.37625,0.5275,0.323125,0.51625,0.398125,0.43375,0.5175,0.303125,0.461875,0.335625,0.49375,0.465625,0.400625,0.41375,0.394375,0.47125,0.3725,0.39625,0.531875,0.45375,0.4275,0.519375,0.45125,0.534375,0.440625,0.441875,0.4475,0.416875,0.40375,0.46625,0.44125,0.451875,0.486875,0.515625,0.44125,0.4825,0.370625,0.4525,0.395625,0.349375,0.608125,0.446875,0.484375,0.46375,0.466875,0.51875,0.368125,0.47625,0.36625,0.505,0.458125,0.626875,0.483125,0.39625,0.459375,0.463125,0.429375,0.383125,0.40625,0.5,0.543125,0.354375,0.314375,0.5675,0.45,0.47,0.485,0.530625,0.4175,0.44375,0.525625,0.505,0.42375,0.535,0.5275,0.52125,0.489375,0.6475,0.32,0.514375,0.38,0.475625,0.395625,0.523125,0.514375,0.5125,0.5175,0.42625,0.39375,0.42875,0.516875,0.510625,0.6175,0.439375,0.49625,0.509375,0.376875,0.381875,0.455,0.566875,0.486875,0.513125,0.41625,0.374375,0.46375,0.505625,0.49875,0.4475,0.39125,0.44625,0.45875,0.32125,0.49625,0.57625,0.444375,0.43875,0.46,0.425,0.411875,0.434375,0.5725,0.515625,0.499375,0.363125,0.445,0.40625,0.379375,0.391875,0.39,0.375,0.428125,0.601875,0.480625,0.403125,0.400625,0.593125,0.463125,0.36,0.549375,0.369375,0.421875,0.4875,0.358125,0.31375,0.4775,0.515625,0.484375,0.459375,0.54,0.47875,0.508125,0.336875,0.501875,0.493125,0.35125,0.396875,0.3625,0.515,0.388125,0.479375,0.473125,0.4,0.510625,0.5475,0.44875,0.4525,0.4275,0.52125,0.353125,0.38,0.484375,0.384375,0.395625,0.515,0.445,0.484375,0.495,0.4775,0.41875,0.463125,0.4,0.431875,0.550625,0.4675,0.50625,0.391875,0.324375,0.478125
